"Requirement","Level","Status","Evidence","Notes"
"v5.0.0-1.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.4","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.5","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.6","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.7","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.8","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.9","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.2.10","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.6","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.7","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.8","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.9","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.10","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.11","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.3.12","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.4.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.4.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.5.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.5.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-1.5.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.4.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-2.4.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.1.1","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.2.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.3.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.3.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.3.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.6","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.4.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.3","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.5","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.7","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.5.8","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.6.1","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.7.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.7.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.7.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.7.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-3.7.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.1.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.1.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.1.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.1.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.1.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.2.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.2.2","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.2.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.2.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.3.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.3.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.4.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.4.2","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.4.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-4.4.4","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.1.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.3","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.4","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.5","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.2.6","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.3.1","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.3.2","1","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.3.3","3","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.4.1","2","Gap","","Requirement-level verification has not been completed."
"v5.0.0-5.4.2","2","Gap","","Requirement-level verification has not been completed."
